# Pfad	Rust-Typ	Bereich	Beschriftung	Schreibrecht	Hinweis
runtime.ai.transparency_enabled	Option<bool>	KI · Weitere Optionen	KI-Transparenzprotokoll aktivieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.transparency_channel_id	Option<u64>	KI · Weitere Optionen	Kanal für das KI-Transparenzprotokoll	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.transparency_include_moderation	Option<bool>	KI · Weitere Optionen	Moderation im Transparenzprotokoll aufnehmen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.transparency_error_repeat_seconds	Option<u64>	KI · Weitere Optionen	Abstand wiederholter KI-Fehlerhinweise (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.transparency_error_followup_seconds	Option<u64>	KI · Weitere Optionen	Abstand nachfolgender KI-Fehlerhinweise (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.brain_bin	Option<PathBuf>	KI · Weitere Optionen	Brain-Programm	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.ai.brain_command_enabled	Option<bool>	KI · Weitere Optionen	Brain-Befehl aktivieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.brain_open_test_mode	Option<bool>	KI · Weitere Optionen	Brain für offene Tests freigeben	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.brain_channels	Option<Vec<u64>>	KI · Weitere Optionen	Für Brain freigegebene Kanäle	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.brain_cooldown_seconds	Option<u64>	KI · Weitere Optionen	Brain-Abklingzeit (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.brain_max_question_len	Option<usize>	KI · Weitere Optionen	Maximale Länge einer Brain-Frage	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
llm.default_provider	Option<Provider>	KI · Standard	Standardanbieter	edit	Ohne Override bleibt der bisherige Anbieter je Anwendungsfall erhalten. Anbieterwechsel benötigt dort vorhandene Zugangsdaten.
llm.fireworks.model	Option<String>	KI · Standard	Fireworks-Standardmodell	edit	Exakte Modell-ID. Freigegeben ist die DeepSeek-Flash-Familie; z. B. accounts/fireworks/models/deepseek-v4p1-flash. Explizite Pins je Anwendungsfall haben Vorrang.
llm.use_cases.bot_pate.provider	Option<Provider>	KI · Bot-Pate	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.bot_pate.model	Option<String>	KI · Bot-Pate	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.bot_pate.max_output_tokens	Option<u32>	KI · Bot-Pate	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.bot_pate.temperature	Option<f64>	KI · Bot-Pate	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.bot_pate.reasoning_effort	Option<ReasoningEffort>	KI · Bot-Pate	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.bot_pate.request_timeout_seconds	Option<u64>	KI · Bot-Pate	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.faq.provider	Option<Provider>	KI · FAQ-Antworten	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.faq.model	Option<String>	KI · FAQ-Antworten	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.faq.max_output_tokens	Option<u32>	KI · FAQ-Antworten	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.faq.temperature	Option<f64>	KI · FAQ-Antworten	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.faq.reasoning_effort	Option<ReasoningEffort>	KI · FAQ-Antworten	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.faq.request_timeout_seconds	Option<u64>	KI · FAQ-Antworten	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.lfg_freitext.provider	Option<Provider>	KI · Freitext-Mitspielersuche	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.lfg_freitext.model	Option<String>	KI · Freitext-Mitspielersuche	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.lfg_freitext.max_output_tokens	Option<u32>	KI · Freitext-Mitspielersuche	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.lfg_freitext.temperature	Option<f64>	KI · Freitext-Mitspielersuche	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.lfg_freitext.reasoning_effort	Option<ReasoningEffort>	KI · Freitext-Mitspielersuche	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.lfg_freitext.request_timeout_seconds	Option<u64>	KI · Freitext-Mitspielersuche	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.scrim_lagebild.provider	Option<Provider>	KI · Scrim-Lagebild	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.scrim_lagebild.model	Option<String>	KI · Scrim-Lagebild	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.scrim_lagebild.max_output_tokens	Option<u32>	KI · Scrim-Lagebild	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.scrim_lagebild.temperature	Option<f64>	KI · Scrim-Lagebild	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.scrim_lagebild.reasoning_effort	Option<ReasoningEffort>	KI · Scrim-Lagebild	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.scrim_lagebild.request_timeout_seconds	Option<u64>	KI · Scrim-Lagebild	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.verbinder_match.provider	Option<Provider>	KI · Spieler zusammenbringen	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.verbinder_match.model	Option<String>	KI · Spieler zusammenbringen	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.verbinder_match.max_output_tokens	Option<u32>	KI · Spieler zusammenbringen	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.verbinder_match.temperature	Option<f64>	KI · Spieler zusammenbringen	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.verbinder_match.reasoning_effort	Option<ReasoningEffort>	KI · Spieler zusammenbringen	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.verbinder_match.request_timeout_seconds	Option<u64>	KI · Spieler zusammenbringen	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.verbinder_kritik.provider	Option<Provider>	KI · Zusammenführung prüfen	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.verbinder_kritik.model	Option<String>	KI · Zusammenführung prüfen	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.verbinder_kritik.max_output_tokens	Option<u32>	KI · Zusammenführung prüfen	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.verbinder_kritik.temperature	Option<f64>	KI · Zusammenführung prüfen	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.verbinder_kritik.reasoning_effort	Option<ReasoningEffort>	KI · Zusammenführung prüfen	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.verbinder_kritik.request_timeout_seconds	Option<u64>	KI · Zusammenführung prüfen	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.ai_onboarding.provider	Option<Provider>	KI · KI-Onboarding	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.ai_onboarding.model	Option<String>	KI · KI-Onboarding	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.ai_onboarding.max_output_tokens	Option<u32>	KI · KI-Onboarding	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.ai_onboarding.temperature	Option<f64>	KI · KI-Onboarding	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.ai_onboarding.reasoning_effort	Option<ReasoningEffort>	KI · KI-Onboarding	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.ai_onboarding.request_timeout_seconds	Option<u64>	KI · KI-Onboarding	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.brain_antwort.provider	Option<Provider>	KI · Brain-Antworten	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.brain_antwort.model	Option<String>	KI · Brain-Antworten	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.brain_antwort.max_output_tokens	Option<u32>	KI · Brain-Antworten	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.brain_antwort.temperature	Option<f64>	KI · Brain-Antworten	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.brain_antwort.reasoning_effort	Option<ReasoningEffort>	KI · Brain-Antworten	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.brain_antwort.request_timeout_seconds	Option<u64>	KI · Brain-Antworten	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.coaching_anfrage.provider	Option<Provider>	KI · Coaching-Anfragen	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.coaching_anfrage.model	Option<String>	KI · Coaching-Anfragen	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.coaching_anfrage.max_output_tokens	Option<u32>	KI · Coaching-Anfragen	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.coaching_anfrage.temperature	Option<f64>	KI · Coaching-Anfragen	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.coaching_anfrage.reasoning_effort	Option<ReasoningEffort>	KI · Coaching-Anfragen	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.coaching_anfrage.request_timeout_seconds	Option<u64>	KI · Coaching-Anfragen	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.moderation_text.provider	Option<Provider>	KI · Textmoderation	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.moderation_text.model	Option<String>	KI · Textmoderation	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.moderation_text.max_output_tokens	Option<u32>	KI · Textmoderation	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.moderation_text.temperature	Option<f64>	KI · Textmoderation	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.moderation_text.reasoning_effort	Option<ReasoningEffort>	KI · Textmoderation	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.moderation_text.request_timeout_seconds	Option<u64>	KI · Textmoderation	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.moderation_verify.provider	Option<Provider>	KI · KI-Verifizierung	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.moderation_verify.model	Option<String>	KI · KI-Verifizierung	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.moderation_verify.max_output_tokens	Option<u32>	KI · KI-Verifizierung	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.moderation_verify.temperature	Option<f64>	KI · KI-Verifizierung	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.moderation_verify.reasoning_effort	Option<ReasoningEffort>	KI · KI-Verifizierung	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.moderation_verify.request_timeout_seconds	Option<u64>	KI · KI-Verifizierung	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.streamer_matcher.provider	Option<Provider>	KI · Streamer-Zuordnung	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.streamer_matcher.model	Option<String>	KI · Streamer-Zuordnung	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.streamer_matcher.max_output_tokens	Option<u32>	KI · Streamer-Zuordnung	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.streamer_matcher.temperature	Option<f64>	KI · Streamer-Zuordnung	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.streamer_matcher.reasoning_effort	Option<ReasoningEffort>	KI · Streamer-Zuordnung	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.streamer_matcher.request_timeout_seconds	Option<u64>	KI · Streamer-Zuordnung	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.turnier_vorschlag.provider	Option<Provider>	KI · Turniervorschläge	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.turnier_vorschlag.model	Option<String>	KI · Turniervorschläge	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.turnier_vorschlag.max_output_tokens	Option<u32>	KI · Turniervorschläge	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.turnier_vorschlag.temperature	Option<f64>	KI · Turniervorschläge	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.turnier_vorschlag.reasoning_effort	Option<ReasoningEffort>	KI · Turniervorschläge	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.turnier_vorschlag.request_timeout_seconds	Option<u64>	KI · Turniervorschläge	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
llm.use_cases.voice_hint.provider	Option<Provider>	KI · Sprachkanalhinweise	Anbieter	edit	Dienststandard behält die bestehende Zuordnung bei. Für einen Anbieterwechsel müssen Zugangsdaten vorhanden sein.
llm.use_cases.voice_hint.model	Option<String>	KI · Sprachkanalhinweise	Modell-Pin	edit	Der Modell-Pin gilt vor globalen und älteren Modellvorgaben. Dienststandard entfernt nur diesen Pin.
llm.use_cases.voice_hint.max_output_tokens	Option<u32>	KI · Sprachkanalhinweise	Maximale Ausgabetokens (1–32768)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Ein höheres Budget kann die Aufrufkosten erhöhen.
llm.use_cases.voice_hint.temperature	Option<f64>	KI · Sprachkanalhinweise	Temperatur (0–2)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart.
llm.use_cases.voice_hint.reasoning_effort	Option<ReasoningEffort>	KI · Sprachkanalhinweise	Denkaufwand	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. none schaltet Denken aus. Nur Werte verwenden, die das gewählte Modell unterstützt.
llm.use_cases.voice_hint.request_timeout_seconds	Option<u64>	KI · Sprachkanalhinweise	Zeitlimit je Anfrageversuch (1–110 Sekunden)	edit	Dienststandard behält die bisherigen Aufrufparameter bei. Ein expliziter Wert überschreibt sie nach dem Neustart. Äußere Zeitlimits des jeweiligen Bot-Flows gelten weiterhin.
